Ranking,Name,Country,Total Grants (USD)
1,Johns Hopkins University,United States,1931012965.9508724
2,University of Washington,United States,1780276275.4343421
3,University of Michigan at Ann Arbor,United States,1638821524.5805333
4,University of Pennsylvania,United States,1510226124.4120202
5,Columbia University Health Sciences,United States,1417465925.7439358
6,University of California Los Angeles,United States,1397574562.3779178
7,University of Oxford,United Kingdom,1380648097.8335638
8,Stanford University,United States,1380318062.7502627
9,Duke University,United States,1350834156.5735373
10,University of Pittsburgh at Pittsburgh,United States,1348120706.9049919
11,Harvard University,United States,1257627508.6313462
12,University College London,United Kingdom,1252380041.973104
13,Imperial College London,United Kingdom,1230551844.94055
14,University of Minnesota Twin Cities,United States,1222363482.2037258
15,University of Cambridge,United Kingdom,1220175862.5005991
16,Yale University,United States,1214695365.403106
17,Vanderbilt University,United States,1098609297.8104026
18,Washington University,United States,1055792653.4570326
19,University of Wisconsin Madison,United States,1032315131.1121867
20,Emory University,United States,970165735.2973644
21,University of California Davis,United States,940747691.4213173
22,Massachusetts General Hospital,United States,832313158.765681
23,University of Southern California,United States,830148733.8770369
24,Fraunhofer-gesellschaft Zur Foerderung Der Angewandten Forschung E.v,Germany,805122758.9382999
25,Centre National de la Recherche Scientifique,France,788480590.5966281
26,University of Chicago,United States,776588026.5889316
27,Ohio State University,United States,729810908.4584931
28,University of Florida,United States,725448079.5640391
29,Mount Sinai School of Medicine,United States,718805571.1322525
30,Brigham and Women's Hospital,United States,712077747.5375689
31,New York University School of Medicine,United States,704780755.7851466
32,University of California Berkeley,United States,691121125.5080093
33,University of Illinois at Chicago,United States,681586961.9957368
34,University of Manchester,United Kingdom,669197129.5097879
35,Northwestern University at Chicago,United States,661331554.3486168
36,Scripps Research Institute,United States,651024863.793912
37,Max Planck Gesellschaft Zur Foerderung Der Wissenschaften E.v,Germany,645212818.1303856
38,Cornell University Ithaca,United States,645064581.6578132
39,Texas State Dept of Health Services,United States,614156895.8862205
40,Massachusetts Institute of Technology,United States,608275643.877974
41,University of Colorado Denver,United States,605327253.0360086
42,Pennsylvania State University-univ Park,United States,597210814.994813
43,University of Utah,United States,596748755.7701619
44,Oregon Health and Science University,United States,594534628.9014771
45,Case Western Reserve University,United States,575729160.2245127
46,University of Maryland Baltimore,United States,574911550.5346262
47,Florida Department of Health Division of Information Technology,United States,573816035.215821
48,California Department of Public Health,United States,557406996.7943032
49,Mayo Clinic,United States,553068180.8247356
50,University of Rochester,United States,550501320.7430234
51,Michigan State University,United States,547871498.8533382
52,University of Bristol,United Kingdom,542146634.5605161
53,Baylor College of Medicine,United States,539302771.5221906
54,University of Illinois Urbana-champaign,United States,534669575.49567133
55,Boston University,United States,530302370.7055335
56,Fred Hutchinson Cancer Research Center,United States,499385861.1633393
57,University of Iowa,United States,493643314.1453896
58,University of Leeds,United Kingdom,486509810.9388248
59,University of Colorado at Boulder,United States,485363825.9186873
60,University of Arizona,United States,482344697.6094645
61,Commissariat a L Energie Atomique et Aux Energies Alternatives,France,481250038.6774363
62,University of Glasgow,United Kingdom,481042160.5621005
63,Albert Einstein Col of Med Yeshiva Univ,United States,473057554.765977
64,King's College London,United Kingdom,472324300.67993444
65,University of Southampton,United Kingdom,471061977.0651143
66,University of Texas Sw Med Ctr,United States,467176589.6917867
67,University of Maryland College Pk Campus,United States,464324639.2982498
68,Purdue University West Lafayette,United States,451870614.06038123
69,University of Virginia Charlottesville,United States,447531480.5404457
70,University of Miami,United States,445744048.7528251
71,Children's Hospital Boston,United States,424391849.431246
72,Health Research Inc,United States,418594727.4302081
73,University of California San Francisco,United States,410572953.748587
74,University of Toronto,Canada,395435647.27425766
75,Georgia Tech Research Corporation,United States,393076833.6511074
76,University of Texas MD Anderson can Ctr,United States,387401951.79640436
77,University of Kentucky,United States,386120297.13218737
78,Indiana Univ-purdue Univ at Indianapolis,United States,379543536.5059925
79,Rutgers the St Univ of Nj New Brunswick,United States,375305359.2526956
80,Dartmouth College,United States,372065668.1501236
81,Carnegie Mellon University,United States,361818480.77552205
82,California Institute of Technology,United States,358664770.97003406
83,Children's Hospital Medical Center Cinci,United States,358471959.94859797
84,University of South Florida,United States,356383746.8704221
85,University of Nottingham,United Kingdom,354790211.0620348
86,Sloan-kettering Institute for Cancer Res,United States,354579014.96771914
87,University of Georgia,United States,352939743.2110579
88,University of Sheffield,United Kingdom,345771427.1693882
89,University of Texas Austin,United States,339220476.1505629
90,Institut National de la Sante et de la Recherche Medicale (inserm),France,338105808.3208143
91,Childrens Hospital of Philadelphia,United States,334831881.06184435
92,Cornell University,United States,333753012.9255252
93,Iowa State University,United States,328933490.9001206
94,Virginia Commonwealth University,United States,328822047.2188793
95,New York City Health/mental Hygiene,United States,320841510.43489015
96,University of British Columbia,Canada,319295058.99225295
97,Oregon State University,United States,314170585.4971892
98,University of Edinburgh,United Kingdom,313966463.0119221
99,Medical University of South Carolina,United States,312841211.29030865
100,State University New York Stony Brook,United States,311443176.50524604
